Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late,Bike_Path_Dist_m,total_safe_bike_path_meters,Pax_annual_norm,Pax_AM_peak_norm,Bike_Path_Dist_m_norm,Train_Line
FY24-25,19886,Cranbourne,-38.09953731,145.280599,1054250,3500,3650,2900,1650,1250,800,1600,800,400,100,27.162975766412323,1398.3670095726013,0.05357652260733134,0.40789473684210525,0.009352861289723248,Sunbury Line
FY24-25,19887,Merinda Park,-38.07900048,145.2635114,577750,1950,2050,1600,750,550,400,1000,400,200,50,16.945858805782894,6240.368980499826,0.029303441530655908,0.25,0.005778207061248638,Cranbourne Line
FY24-25,19887,Merinda Park,-38.07900048,145.2635114,577750,1950,2050,1600,750,550,400,1000,400,200,50,16.945858805782894,6240.368980499826,0.029303441530655908,0.25,0.005778207061248638,Sunbury Line
FY24-25,19888,Dandenong,-37.98996792,145.2097254,1970750,6300,6500,5450,3750,2800,450,1350,1700,2400,600,66.67882422800102,4327.147795043244,0.10026336165617296,0.34210526315789475,0.023178238383799094,Cranbourne Line
FY24-25,19888,Dandenong,-37.98996792,145.2097254,1970750,6300,6500,5450,3750,2800,450,1350,1700,2400,600,66.67882422800102,4327.147795043244,0.10026336165617296,0.34210526315789475,0.023178238383799094,Pakenham Line
FY24-25,19888,Dandenong,-37.98996792,145.2097254,1970750,6300,6500,5450,3750,2800,450,1350,1700,2400,600,66.67882422800102,4327.147795043244,0.10026336165617296,0.34210526315789475,0.023178238383799094,Sunbury Line
FY24-25,19889,Yarraman,-37.97825454,145.1916003,272450,900,900,750,450,400,100,350,250,200,50,5.088414187154138,8170.799763785441,0.013751349919514233,0.07894736842105263,0.0016296527569164344,Cranbourne Line
FY24-25,19889,Yarraman,-37.97825454,145.1916003,272450,900,900,750,450,400,100,350,250,200,50,5.088414187154138,8170.799763785441,0.013751349919514233,0.07894736842105263,0.0016296527569164344,Pakenham Line
FY24-25,19889,Yarraman,-37.97825454,145.1916003,272450,900,900,750,450,400,100,350,250,200,50,5.088414187154138,8170.799763785441,0.013751349919514233,0.07894736842105263,0.0016296527569164344,Sunbury Line
FY24-25,19890,Noble Park,-37.96723193,145.1769357,993800,3200,3350,2600,1800,1400,350,1100,850,850,150,24.668366226186368,2892.5959942779614,0.05049717790410987,0.27631578947368424,0.008480074320980115,Cranbourne Line
FY24-25,19890,Noble Park,-37.96723193,145.1769357,993800,3200,3350,2600,1800,1400,350,1100,850,850,150,24.668366226186368,2892.5959942779614,0.05049717790410987,0.27631578947368424,0.008480074320980115,Pakenham Line
FY24-25,19890,Noble Park,-37.96723193,145.1769357,993800,3200,3350,2600,1800,1400,350,1100,850,850,150,24.668366226186368,2892.5959942779614,0.05049717790410987,0.27631578947368424,0.008480074320980115,Sunbury Line
